Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,-9999
15,Renan dos Santos,br BRA,GK,Atl Goianiense,32,1989,16,16,1440,16.0,23,1.44,87,64,74.7,4,5,7,2,12.5,1,1,0,0,0.0,Matches,6bfaecc4
16,Éverson,br BRA,GK,Atlético Mineiro,31,1990,37,37,3330,37.0,37,1.00,119,81,73.9,15,12,10,15,40.5,7,6,1,0,14.3,Matches,a59c090b
17,Fábio,br BRA,GK,Fluminense,41,1980,38,38,3420,38.0,41,1.08,151,111,74.8,21,7,10,14,36.8,3,3,0,0,0.0,Matches,15825726
18,Gatito Fernández,py PAR,GK,Botafogo (RJ),33,1988,32,32,2809,31.2,37,1.19,125,87,73.6,11,7,13,8,25.0,5,4,1,0,20.0,Matches,9a82f79a
19,Douglas Friedrich,br BRA,GK,Avaí,33,1988,11,11,939,10.4,16,1.53,40,24,65.0,3,1,5,2,18.2,2,2,0,0,0.0,Matches,8789242d
20,Gabriel,br BRA,GK,Coritiba,29,1992,13,13,1170,13.0,19,1.46,64,43,70.3,5,2,6,4,30.8,2,0,2,0,100.0,Matches,f93ed0df
21,Glédson,br BRA,GK,Avaí,38,1983,5,5,450,5.0,7,1.40,17,11,58.8,2,1,2,1,20.0,0,0,0,0,,Matches,a9d625f5
22,Jailson,br BRA,GK,América (MG),40,1981,12,12,1080,12.0,13,1.08,52,39,75.0,4,3,5,2,16.7,0,0,0,0,,Matches,01f7b8c3
23,Jandrei,br BRA,GK,São Paulo,28,1993,19,19,1648,18.3,19,1.04,65,46,72.3,5,8,5,4,21.1,1,1,0,0,0.0,Matches,85ea4399
24,John,br BRA,GK,Santos,25,1996,1,1,90,1.0,0,0.00,1,1,100.0,0,1,0,1,100.0,0,0,0,0,,Matches,33a235af
25,Keiller,br BRA,GK,Internacional,25,1996,15,15,1350,15.0,10,0.67,55,45,87.3,9,4,2,8,53.3,3,3,0,0,0.0,Matches,e38fde76
26,Marcelo Lomba,br BRA,GK,Palmeiras,35,1986,3,3,270,3.0,0,0.00,10,10,100.0,2,1,0,3,100.0,0,0,0,0,,Matches,e4835e3c
27,Lucão,br BRA,GK,Bragantino,20,2001,1,1,90,1.0,2,2.00,7,5,71.4,0,0,1,0,0.0,0,0,0,0,,Matches,ebb5a0df
28,Vinícius Machado,br BRA,GK,Ceará,21,2000,2,2,180,2.0,1,0.50,7,6,85.7,0,2,0,1,50.0,0,0,0,0,,Matches,0d9b2e53
29,Carlos Miguel,br BRA,GK,Corinthians,23,1998,2,2,180,2.0,2,1.00,10,8,80.0,2,0,0,0,0.0,0,0,0,0,,Matches,84454067
30,Fernando Miguel,br BRA,GK,Fortaleza,36,1985,20,20,1800,20.0,15,0.75,90,75,85.6,13,4,3,12,60.0,2,2,0,0,0.0,Matches,f1f06658
31,Airton Moraes,br BRA,GK,América (MG),27,1994,1,1,90,1.0,1,1.00,8,7,87.5,0,0,1,0,0.0,0,0,0,0,,Matches,5e8682b0
