Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
520,Carles Soria,es ESP,DF,Estoril,24,1996,20.2,836,1031,81.1,15902,4980,337,368,91.6,376,446,84.3,110,177,62.1,1,1.6,1.1,-0.6,17,65,19,12,57,Matches,128a19d7
521,Afonso Sousa,pt POR,MFFW,B-SAD,21,2000,25.1,767,931,82.4,12898,3094,367,401,91.5,281,326,86.2,87,132,65.9,2,1.8,2.2,+0.2,27,74,19,5,64,Matches,f3f47ebd
522,César Sousa,ao ANG,MF,B-SAD,21,2000,5.4,136,178,76.4,2157,602,72,87,82.8,45,60,75.0,12,18,66.7,0,0.4,0.6,-0.4,5,14,5,1,17,Matches,e0581847
523,Miguel Sousa,pt POR,MF,Marítimo,22,1998,3.1,120,170,70.6,2267,724,55,71,77.5,49,57,86.0,15,34,44.1,0,0.7,0.7,-0.7,5,9,3,2,15,Matches,ee784cc2
524,Claudemir de Souza,br BRA,MF,Vizela,33,1988,22.3,1019,1262,80.7,18295,5935,417,466,89.5,484,556,87.1,97,188,51.6,1,1.4,1.2,-0.4,24,94,14,3,77,Matches,1b033987
525,Adel Taarabt,ma MAR,MF,Benfica,32,1989,9.6,463,569,81.4,8107,2184,214,239,89.5,182,216,84.3,53,77,68.8,4,2.3,2.0,+1.7,17,73,14,6,49,Matches,47dc80f5
526,Bruno Tabata,,FWMF,Sporting CP,24,1997,4.5,174,230,75.7,2921,649,88,100,88.0,65,88,73.9,19,33,57.6,1,1.3,1.2,-0.3,13,14,6,5,4,Matches,2e0f6a18
527,Kyosuke Tagawa,jp JPN,FWMF,Santa Clara,22,1999,5.4,39,55,70.9,480,123,28,34,82.4,10,15,66.7,0,1,0.0,0,0.0,0.1,0.0,2,3,1,0,1,Matches,37d01ca3
528,Afonso Taira,pt POR,MF,B-SAD,29,1992,0.2,10,15,66.7,179,91,4,5,80.0,5,5,100.0,1,4,25.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches,d5696a58
529,Talocha,pt POR,DF,Gil Vicente FC,31,1989,30.9,1300,1682,77.3,22525,8848,560,642,87.2,607,746,81.4,101,213,47.4,0,1.5,2.0,-1.5,17,114,24,4,130,Matches,99454b60
530,Douglas Tanque,br BRA,FW,Paços,27,1993,1.6,27,42,64.3,365,74,18,25,72.0,7,13,53.8,1,1,100.0,0,0.0,0.0,0.0,1,5,0,0,3,Matches,dbec03ba
531,Mehdi Taremi,ir IRN,FW,Porto,29,1992,26.9,503,692,72.7,6804,1846,304,369,82.4,146,192,76.0,21,38,55.3,12,12.0,7.0,0.0,50,44,31,1,62,Matches,4c2a5d34
532,David Tavares,pt POR,MF,Famalicão,22,1999,5.0,154,183,84.2,2352,622,82,96,85.4,55,62,88.7,9,12,75.0,0,0.0,0.1,0.0,1,17,0,0,8,Matches,70bc68ef
533,Gilson Tavares,cv CPV,FW,Estoril,19,2001,0.1,4,5,80.0,68,0,1,1,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,eae26fce
534,Heriberto Tavares,pt POR,FWMF,Famalicão,24,1997,8.4,143,236,60.6,2290,809,71,97,73.2,55,82,67.1,11,35,31.4,0,1.3,1.1,-1.3,9,13,11,4,21,Matches,2d9f280e
535,Yohan Tavares,pt POR,DF,B-SAD,33,1988,28.0,1156,1384,83.5,23208,8463,322,360,89.4,698,768,90.9,130,227,57.3,0,0.1,0.4,-0.1,3,52,2,0,69,Matches,a885714c
536,André Teles,pt POR,MF,Marítimo,24,1997,1.2,66,73,90.4,1272,346,21,24,87.5,36,39,92.3,8,8,100.0,0,0.0,0.0,0.0,1,10,0,0,5,Matches,5363c7e7
537,Guo Tianyu,cn CHN,FW,Vizela,22,1999,0.4,3,6,50.0,38,0,3,4,75.0,0,2,0.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches,89de0c1c
538,Tiago Tomás,pt POR,MFFW,Sporting CP,19,2002,1.9,26,39,66.7,377,39,17,19,89.5,7,9,77.8,2,3,66.7,0,0.1,0.0,-0.1,2,4,0,0,1,Matches,b492126a
539,Vítor Tormena,br BRA,DF,Braga,25,1996,20.7,1172,1419,82.6,22204,7858,431,481,89.6,620,715,86.7,107,188,56.9,0,0.8,0.9,-0.8,9,103,8,1,60,Matches,ed1cc44a
540,Pedro Trigueira,pt POR,GK,Tondela,33,1988,28.9,681,1043,65.3,22300,17558,77,81,95.1,287,297,96.6,316,660,47.9,0,0.0,0.0,0.0,1,11,0,0,0,Matches,00d19548
541,Matouš Trmal,cz CZE,GK,Vitória,22,1998,9.0,196,297,66.0,5856,4331,26,27,96.3,103,105,98.1,67,164,40.9,0,0.0,0.0,0.0,0,4,0,0,0,Matches,393f7c58
542,Manuel Ugarte Ribeiro,uy URU,MF,Sporting CP,20,2001,12.3,647,707,91.5,11390,1905,310,330,93.9,260,273,95.2,70,85,82.4,1,0.8,0.5,+0.2,9,51,5,0,41,Matches,c9817014
543,Zé Uilton,br BRA,FWDF,Paços,29,1992,21.0,456,618,73.8,7288,2079,245,277,88.4,156,209,74.6,41,88,46.6,2,1.0,0.9,+1.0,10,29,13,10,17,Matches,31737d6f
544,Iker Undabarrena,es ESP,MF,Tondela,26,1995,22.3,1051,1236,85.0,19157,6573,445,506,87.9,468,520,90.0,119,157,75.8,1,0.7,0.8,+0.3,13,100,10,2,99,Matches,ed21e2f8
545,Mateus Uribe,co COL,MF,Porto,30,1991,22.1,1150,1342,85.7,20555,6928,535,588,91.0,446,505,88.3,137,182,75.3,2,2.1,1.6,-0.1,17,136,16,2,104,Matches,b997c3de
546,Eugeni Valderrama,es ESP,MF,Arouca,27,1994,5.9,167,222,75.2,3191,901,74,86,86.0,58,70,82.9,30,57,52.6,0,0.5,0.4,-0.5,11,17,6,2,19,Matches,a75b4071
547,Rodrigo Valente,pt POR,MFFW,Estoril,20,2001,0.5,13,17,76.5,187,45,6,8,75.0,7,7,100.0,0,0,,0,0.0,0.1,0.0,0,1,0,0,1,Matches,f27fee09
548,Bruno Varela,pt POR,GK,Vitória,26,1994,25.0,516,781,66.1,16793,12987,51,51,100.0,246,251,98.0,218,476,45.8,0,0.0,0.0,0.0,1,14,0,0,1,Matches,2bea06e0
549,Nilton Varela,pt POR,DFMF,B-SAD,20,2001,8.7,153,238,64.3,2364,1184,76,99,76.8,57,82,69.5,11,30,36.7,1,0.6,0.4,+0.4,3,9,4,2,9,Matches,c5c22733
550,Luciano Vega,ar ARG,MF,Estoril,21,1999,1.2,28,38,73.7,422,96,17,21,81.0,10,13,76.9,1,3,33.3,0,0.0,0.0,0.0,1,0,0,0,1,Matches,e6428440
551,Igor Vekič,si SVN,GK,Paços,23,1998,0.0,3,3,100.0,73,43,0,0,,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,fcc5a185
552,Calvin Verdonk,nl NED,FW,Famalicão,24,1997,0.2,3,4,75.0,70,50,1,1,100.0,1,2,50.0,1,1,100.0,0,0.1,0.1,-0.1,1,1,1,1,1,Matches,bf2b4026
553,Lucas Veríssimo,br BRA,DF,Benfica,26,1995,9.3,599,677,88.5,11083,4182,232,241,96.3,321,346,92.8,44,78,56.4,1,0.2,0.5,+0.8,4,35,2,0,24,Matches,5eaf85b5
554,Jan Vertonghen,be BEL,DF,Benfica,34,1987,27.6,1681,1899,88.5,34308,12447,480,515,93.2,1007,1068,94.3,186,277,67.1,2,0.7,0.7,+1.3,6,150,3,0,98,Matches,ba23a904
555,Paulo Victor Vidotti,br BRA,GK,Marítimo,34,1987,30.0,771,1105,69.8,22179,16437,120,120,100.0,357,366,97.5,281,602,46.7,1,0.1,0.0,+0.9,1,10,0,0,1,Matches,68a3e731
556,André Vidigal,pt POR,FWMF,Marítimo,22,1998,23.9,433,592,73.1,7526,1380,215,264,81.4,155,202,76.7,53,79,67.1,3,1.8,1.9,+1.2,16,23,23,13,31,Matches,3f332394
557,Fabio Vieira,pt POR,MFFW,Porto,21,2000,14.8,619,822,75.3,10333,3176,320,353,90.7,197,256,77.0,70,145,48.3,11,5.2,5.0,+5.8,34,80,37,5,77,Matches,6412cc03
558,Mikel Villanueva,ve VEN,DF,Santa Clara,28,1993,19.8,882,1021,86.4,19226,7768,232,256,90.6,498,522,95.4,150,224,67.0,0,0.4,0.2,-0.4,6,29,2,0,29,Matches,65f90a76
559,Rúben Vinagre,pt POR,DFMF,Sporting CP,22,1999,6.0,292,392,74.5,4450,1049,161,188,85.6,115,151,76.2,11,27,40.7,1,0.6,0.8,+0.4,6,9,6,4,14,Matches,b937e490
560,Carlos Vinícius,br BRA,FW,Benfica,26,1995,0.1,1,2,50.0,14,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,8b529245
561,João Virgínia,pt POR,GK,Sporting CP,21,1999,0.9,21,24,87.5,415,253,6,6,100.0,14,14,100.0,1,4,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,728e9b2e
562,Bernardo Vital,pt POR,DF,Estoril,20,2000,15.4,630,734,85.8,13682,3641,116,134,86.6,428,462,92.6,86,132,65.2,0,0.0,0.1,0.0,1,29,0,0,34,Matches,3264a506
563,Vitinha,pt POR,MF,Porto,21,2000,25.0,1709,1963,87.1,29116,7593,851,905,94.0,596,664,89.8,199,290,68.6,3,4.5,4.9,-1.5,42,210,33,1,150,Matches,3b029691
564,Vitinha,pt POR,FW,Braga,21,2000,16.4,248,359,69.1,3393,660,144,179,80.4,57,85,67.1,17,31,54.8,2,1.8,2.6,+0.2,15,14,12,2,18,Matches,74d4cec6
