Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,-9999
25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,26,18,14,11,1,15,24,62.5,9,23,12,11,34,60,87,1,Matches,801f3d1d
26,Anderson,br BRA,FWMF,Portimonense,23,1998,11.4,18,11,6,8,4,7,19,36.8,12,13,0,13,5,23,3,0,Matches,4242a0a1
27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,f667eb16
28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,28,20,21,7,0,14,20,70.0,6,30,21,9,20,48,78,0,Matches,070eb3e3
29,André André,pt POR,MF,Vitória,31,1989,10.4,23,15,5,11,7,10,19,52.6,9,9,5,4,8,31,3,0,Matches,9f31b1d3
30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,6a321e80
31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,1,Matches,40406a00
32,Iván Angulo,co COL,FWMF,Portimonense,22,1999,26.2,38,23,17,13,8,17,36,47.2,19,23,1,22,24,62,27,0,Matches,55a5d959
33,Antony,br BRA,FWMF,Arouca,19,2001,7.4,21,12,11,6,4,9,20,45.0,11,9,0,9,7,28,3,0,Matches,6a2381f7
34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,51,29,29,19,3,31,54,57.4,23,19,6,13,31,82,67,0,Matches,3e4f735d
35,Bilel Aouacheria,fr FRA,FWMF,Gil Vicente FC,27,1994,7.1,7,3,1,4,2,2,3,66.7,1,5,0,5,4,11,5,0,Matches,77bbc5b1
36,Wilinton Aponzá,co COL,FWMF,Portimonense,21,2000,8.3,5,1,1,3,1,3,5,60.0,2,6,0,6,1,6,7,0,Matches,6d058717
37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,100104d1
