Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,25,45,55.6,368,115,17,24,70.8,5,11,45.5,2,5,40.0,0,0.3,0.0,-0.3,2,4,1,0,2,Matches,9c8f641a
18,Adil Auassar,nl NED,DFMF,Sparta R'dam,34,1986,27.5,720,1062,67.8,14603,5809,233,297,78.5,365,460,79.3,107,237,45.1,1,1.2,1.2,-0.2,10,64,9,1,59,Matches,ddb76359
19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,34,51,66.7,486,90,19,28,67.9,10,15,66.7,3,6,50.0,0,0.0,0.0,0.0,0,3,0,0,1,Matches,dfb64760
20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,1714,2087,82.1,28914,9670,777,872,89.1,706,811,87.1,155,260,59.6,4,3.1,3.6,+0.9,37,212,36,3,173,Matches,f0677ed7
21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,3,3,100.0,55,9,2,2,100.0,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,450bb001
22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,467,622,75.1,7591,2350,239,288,83.0,184,236,78.0,34,59,57.6,0,1.2,0.9,-1.2,14,48,8,0,54,Matches,ce81d82d
23,Ismail Azzaoui,be BEL,FWMF,Heracles Almelo,23,1998,4.8,119,177,67.2,1703,368,67,88,76.1,36,51,70.6,7,9,77.8,1,0.9,0.6,+0.1,7,7,8,2,15,Matches,272cfd72
24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,2,2,100.0,31,0,1,1,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7362a6f2
25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,117,190,61.6,1790,442,50,74,67.6,49,70,70.0,6,14,42.9,1,1.8,1.3,-0.8,11,9,8,0,15,Matches,3b216df2
26,Samy Baghdadi,fr FRA,FWMF,Fortuna Sittard,24,1997,4.8,74,121,61.2,1230,296,36,45,80.0,30,44,68.2,6,16,37.5,0,0.3,0.6,-0.3,3,3,2,0,6,Matches,ab4dc365
27,Saïd Bakari,km COM,DFMF,RKC Waalwijk,26,1994,26.3,807,1096,73.6,12290,4760,435,522,83.3,301,386,78.0,44,115,38.3,3,4.4,3.5,-1.4,45,54,40,14,90,Matches,3a0fbf82
28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,13,17,76.5,170,85,9,9,100.0,4,7,57.1,0,0,,0,0.0,0.1,0.0,0,1,1,0,3,Matches,0caa2fd4
29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,172,239,72.0,2983,1372,75,86,87.2,77,102,75.5,15,30,50.0,0,0.3,0.1,-0.3,2,9,2,0,10,Matches,216d25a3
30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,238,341,69.8,3382,646,123,171,71.9,82,108,75.9,12,23,52.2,0,0.7,1.1,-0.7,8,21,3,0,16,Matches,5d613204
31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,363,498,72.9,7913,3653,118,130,90.8,166,204,81.4,72,144,50.0,1,0.9,1.1,+0.1,9,39,15,4,34,Matches,b0d187a8
32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,686,804,85.3,13522,4191,212,240,88.3,386,422,91.5,78,122,63.9,1,1.1,1.0,-0.1,6,32,3,0,33,Matches,c62e8074
33,Remco Balk,nl NED,FWMF,Utrecht,20,2001,5.0,77,122,63.1,1102,239,44,63,69.8,27,38,71.1,3,9,33.3,1,1.3,1.9,-0.3,6,1,7,2,6,Matches,e685ff44
34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,1044,1266,82.5,16636,4253,550,609,90.3,390,464,84.1,74,127,58.3,0,0.7,0.6,-0.7,12,48,7,0,34,Matches,c47e09ba
35,Naoufal Bannis,nl NED,MFFW,Feyenoord,19,2002,0.2,3,4,75.0,33,12,0,1,0.0,1,1,100.0,0,0,,0,0.3,0.0,-0.3,1,1,0,0,0,Matches,0658de43
36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,14,17,82.4,182,27,9,10,90.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,1,0,1,0,1,Matches,5c0466ba
37,Édgar Barreto,py PAR,MFDF,NEC Nijmegen,37,1984,13.8,553,684,80.8,8766,3262,286,332,86.1,201,223,90.1,43,91,47.3,0,0.3,0.6,-0.3,6,52,11,1,50,Matches,43a1bea5
38,Bilal Başaçıkoğlu,tr TUR,FWMF,Heracles Almelo,26,1995,16.4,296,497,59.6,5242,1557,151,189,79.9,92,156,59.0,46,108,42.6,2,3.8,3.1,-1.8,25,17,20,13,21,Matches,b9052bad
39,Cole Bassett,us USA,MFDF,Feyenoord,20,2001,1.0,49,61,80.3,760,135,24,29,82.8,15,18,83.3,6,10,60.0,1,0.3,0.2,+0.7,4,4,2,0,4,Matches,2c8da8a1
40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,1129,1380,81.8,24067,8725,402,437,92.0,480,529,90.7,221,361,61.2,4,1.5,1.3,+2.5,17,136,22,6,98,Matches,da59a197
41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,1298,1538,84.4,25066,9497,464,518,89.6,657,714,92.0,154,261,59.0,0,0.4,0.6,-0.4,5,53,6,1,61,Matches,49312f11
42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,96ed76f9
43,Thomas Beelen,nl NED,MFDF,Zwolle,20,2001,0.8,30,36,83.3,487,185,15,18,83.3,13,13,100.0,2,3,66.7,0,0.0,0.0,0.0,0,4,1,0,5,Matches,530e7d85
44,Iliass Bel Hassani,ma MAR,MFFW,RKC Waalwijk,28,1992,9.3,245,364,67.3,4512,1599,113,144,78.5,71,98,72.4,48,83,57.8,2,1.5,1.8,+0.5,15,37,11,1,34,Matches,6b42981c
45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,68,82,82.9,1247,434,27,31,87.1,37,42,88.1,4,9,44.4,0,0.0,0.0,0.0,0,2,0,0,1,Matches,01ca961e
46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,68,121,56.2,841,191,46,71,64.8,16,30,53.3,1,4,25.0,0,0.6,0.1,-0.6,3,7,2,0,3,Matches,fc93fdf1
47,Martijn Berden,nl NED,FWMF,Go Ahead Eag,24,1997,6.9,99,147,67.3,1436,403,56,67,83.6,27,43,62.8,9,14,64.3,2,1.4,1.2,+0.6,8,4,5,2,10,Matches,adb499a9
48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,32,41,78.0,501,94,17,19,89.5,11,14,78.6,2,4,50.0,0,0.1,0.1,-0.1,1,0,2,1,1,Matches,0b2c9aec
49,Steven Berghuis,nl NED,MFFW,Ajax,29,1991,26.5,1247,1589,78.5,21039,6453,633,714,88.7,397,491,80.9,156,259,60.2,11,9.9,12.1,+1.1,79,122,82,13,167,Matches,713c144a
50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,299,376,79.5,6052,1747,74,94,78.7,184,208,88.5,37,65,56.9,0,0.3,0.1,-0.3,3,16,0,0,12,Matches,0b4854f9
51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,708,979,72.3,10738,2713,364,447,81.4,254,337,75.4,48,94,51.1,1,1.4,1.5,-0.4,16,69,17,4,65,Matches,b5e0af76
52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,514,664,77.4,10320,3522,152,196,77.6,295,343,86.0,61,107,57.0,0,0.7,0.8,-0.7,3,20,2,0,26,Matches,9f36b9a0
53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,540,646,83.6,10056,3959,189,214,88.3,300,330,90.9,43,84,51.2,1,0.4,0.4,+0.6,3,38,3,1,35,Matches,de13cee5
54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,558,729,76.5,14729,10392,108,108,100.0,283,285,99.3,165,332,49.7,0,0.5,0.0,-0.5,2,11,0,0,1,Matches,53d93280
55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,577,812,71.1,16176,11078,81,81,100.0,308,321,96.0,188,406,46.3,0,0.0,0.1,0.0,2,12,2,1,1,Matches,663e080e
56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,2592,3096,83.7,46574,20707,1143,1262,90.6,1157,1332,86.9,269,399,67.4,2,3.9,7.6,-1.9,28,434,93,12,381,Matches,691bef82
57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,203,306,66.3,3233,490,101,142,71.1,81,101,80.2,11,14,78.6,1,1.9,1.0,-0.9,15,17,5,2,20,Matches,464d927e
58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,63,91,69.2,1073,302,26,35,74.3,28,38,73.7,5,8,62.5,0,0.0,0.1,0.0,1,4,3,1,6,Matches,1fda91b3
59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,4,5,80.0,32,4,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,61abe9b6
60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,143,217,65.9,4265,3197,28,28,100.0,62,62,100.0,52,121,43.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,6718689b
61,Olivier Boscagli,fr FRA,DFMF,PSV Eindhoven,23,1997,26.2,1718,2081,82.6,35971,13117,517,594,87.0,891,970,91.9,288,457,63.0,0,1.1,1.6,-1.1,13,214,7,0,139,Matches,403f5d20
62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,300,414,72.5,4417,975,160,200,80.0,105,131,80.2,14,38,36.8,0,1.2,1.2,-1.2,7,22,4,0,12,Matches,d2f169dd
63,Jordan Botaka,cd COD,MFDF,Fortuna Sittard,28,1993,1.8,66,87,75.9,1042,426,37,45,82.2,25,33,75.8,3,7,42.9,0,0.0,0.0,0.0,1,6,1,1,6,Matches,c339426b
64,Ioannis-Foivos Botos,gr GRE,MFFW,Go Ahead Eag,20,2000,11.5,206,305,67.5,2756,498,131,175,74.9,58,83,69.9,4,12,33.3,0,0.8,0.8,-0.8,8,13,8,1,19,Matches,e705903c
65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,217,300,72.3,4255,1423,72,85,84.7,92,121,76.0,40,73,54.8,0,0.5,0.5,-0.5,6,24,6,2,23,Matches,d36b077d
66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,24,27,88.9,403,102,11,13,84.6,10,11,90.9,2,2,100.0,0,0.0,0.2,0.0,0,2,0,0,3,Matches,dbe204f2
67,Othman Boussaid,be BEL,FWMF,Utrecht,21,2000,13.8,379,555,68.3,6291,2179,175,215,81.4,153,207,73.9,34,82,41.5,5,4.8,5.6,+0.2,27,31,28,8,61,Matches,c8b55104
68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,1,1,100.0,11,10,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,ba6cf633
69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,281,340,82.6,5013,1493,136,153,88.9,102,119,85.7,39,58,67.2,0,0.1,0.3,-0.1,2,27,3,0,26,Matches,4fad2198
70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,719,1095,65.7,18650,12931,184,185,99.5,311,323,96.3,219,574,38.2,0,0.0,0.0,0.0,1,2,0,0,0,Matches,b74a2c78
71,Myron van Brederode,nl NED,FW,AZ Alkmaar,18,2003,0.1,10,13,76.9,178,45,3,5,60.0,5,5,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,485fbd1a
72,Michael Breij,nl NED,MFFW,Cambuur,24,1997,15.5,270,398,67.8,4485,1366,150,180,83.3,87,130,66.9,27,53,50.9,3,2.1,2.1,+0.9,16,30,16,5,40,Matches,5c3f57af
73,Joshua Brenet,nl NED,DF,Twente,27,1994,11.1,441,613,71.9,6878,2690,253,306,82.7,142,205,69.3,30,59,50.8,1,1.0,1.3,0.0,14,41,13,4,35,Matches,2b5527c4
74,Brian Brobbey,nl NED,FW,Ajax,19,2002,4.4,60,81,74.1,638,100,40,54,74.1,12,14,85.7,0,1,0.0,1,0.7,1.0,+0.3,4,5,1,0,3,Matches,4c184730
75,Jorn Brondeel,be BEL,GK,Willem II,27,1993,1.2,19,39,48.7,838,748,1,1,100.0,4,4,100.0,14,34,41.2,0,0.0,0.0,0.0,0,3,0,0,0,Matches,f456c788
76,Ilias Bronkhorst,nl NED,DFFW,NEC Nijmegen,24,1997,2.2,56,89,62.9,1029,395,29,36,80.6,20,30,66.7,5,11,45.5,0,0.3,0.2,-0.3,3,7,2,0,3,Matches,ed3a1cee
77,Luuk Brouwers,nl NED,MF,Go Ahead Eag,23,1998,31.9,1302,1534,84.9,21482,7237,608,688,88.4,544,615,88.5,105,138,76.1,2,2.4,2.8,-0.4,21,93,22,4,122,Matches,82306565
78,Jordy Bruijn,nl NED,MFFW,NEC Nijmegen,25,1996,20.1,485,644,75.3,8914,2986,209,255,82.0,190,233,81.5,68,109,62.4,3,2.2,1.7,+0.8,19,58,10,1,53,Matches,8f9efeef
79,Bruma,pt POR,FWMF,PSV Eindhoven,26,1994,14.1,571,729,78.3,7163,2021,379,446,85.0,127,166,76.5,18,31,58.1,3,4.9,5.6,-1.9,31,34,35,1,55,Matches,5caa62a7
80,Max Bruns,nl NED,DF,Twente,18,2002,1.2,33,39,84.6,636,194,11,12,91.7,17,19,89.5,5,6,83.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches,ff9eae4d
81,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12.0,278,415,67.0,9442,6929,22,22,100.0,116,118,98.3,140,270,51.9,0,0.0,0.0,0.0,0,7,0,0,0,Matches,1da4fe81
82,Thomas Buitink,nl NED,FWMF,Vitesse,21,2000,12.8,209,319,65.5,3567,1124,100,130,76.9,66,88,75.0,29,56,51.8,0,0.8,1.6,-0.8,10,34,14,4,23,Matches,b9d4af9d
83,Wouter Burger,nl NED,DF,Feyenoord,20,2001,0.9,69,75,92.0,1399,537,23,23,100.0,35,36,97.2,11,13,84.6,0,0.0,0.0,0.0,0,13,0,0,7,Matches,fc571dff
84,Delano Burgzorg,nl NED,FWMF,Heracles Almelo,22,1998,12.8,221,276,80.1,3083,652,130,152,85.5,71,85,83.5,10,13,76.9,0,0.9,1.2,-0.9,15,12,19,0,25,Matches,05e2d5ea
85,Alexander Büttner,nl NED,DFMF,RKC Waalwijk,32,1989,20.9,748,1084,69.0,13812,5499,358,417,85.9,266,347,76.7,106,250,42.4,4,3.6,3.3,+0.4,41,65,27,19,56,Matches,a44f7c60
86,Zico Buurmeester,nl NED,MFDF,AZ Alkmaar,19,2002,0.0,1,1,100.0,45,7,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,62766c3f
87,Marc Cardona,es ESP,FW,Go Ahead Eag,26,1995,8.8,155,230,67.4,2208,557,81,107,75.7,55,73,75.3,9,14,64.3,2,1.6,1.2,+0.4,13,14,8,1,19,Matches,b92b456a
88,João Carlos Teixeira,pt POR,MF,Feyenoord,28,1993,0.1,7,7,100.0,106,27,4,4,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches,601299e9
89,Gabi Caschili,nl NED,MF,Zwolle,18,2003,0.1,5,11,45.5,92,41,2,6,33.3,2,4,50.0,1,1,100.0,0,0.0,0.0,0.0,1,1,0,0,0,Matches,c4c63c88
90,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2.0,54,84,64.3,1794,1521,10,10,100.0,18,19,94.7,23,51,45.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,881e5db7
91,Václav Černý,cz CZE,FW,Twente,23,1997,6.0,207,277,74.7,2917,857,116,135,85.9,70,91,76.9,9,20,45.0,1,1.3,1.5,-0.3,10,13,14,4,24,Matches,bb1cf301
92,Ibrahim Cissoko,nl NED,FW,NEC Nijmegen,18,2003,1.0,29,36,80.6,472,174,17,19,89.5,9,10,90.0,3,4,75.0,0,0.0,0.1,0.0,1,5,2,1,4,Matches,abddf25d
93,Jordy Clasie,nl NED,MF,AZ Alkmaar,30,1991,26.8,1632,1906,85.6,28999,8193,714,784,91.1,715,796,89.8,167,241,69.3,0,1.3,2.2,-1.3,22,175,19,0,146,Matches,31c01b85
94,Pelle Clement,nl NED,MFFW,Zwolle,25,1996,15.2,441,655,67.3,6465,2182,257,333,77.2,125,171,73.1,31,82,37.8,2,3.2,3.5,-1.2,35,31,24,8,50,Matches,f7226e46
95,Denilho Cleonise,nl NED,FWMF,Twente,19,2001,2.1,31,48,64.6,552,162,14,21,66.7,13,18,72.2,3,6,50.0,0,0.3,0.3,-0.3,2,5,2,1,2,Matches,91c9de34
96,Iñigo Córdoba,es ESP,FWMF,Go Ahead Eag,24,1997,25.7,524,851,61.6,8168,2785,288,384,75.0,153,236,64.8,53,116,45.7,1,2.1,2.5,-1.1,24,60,25,10,68,Matches,49ea92be
97,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3.0,65,89,73.0,1950,1518,15,15,100.0,27,27,100.0,23,46,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches,4c0199a5
98,Enzo Cornelisse,nl NED,DF,Vitesse,18,2003,9.3,305,385,79.2,5205,1870,135,158,85.4,137,159,86.2,20,43,46.5,0,0.0,0.1,0.0,1,17,1,0,26,Matches,441f7f4c
99,George Cox,eng ENG,DF,Fortuna Sittard,23,1998,24.4,738,1116,66.1,14034,5606,326,395,82.5,271,381,71.1,127,268,47.4,2,3.3,2.8,-1.3,29,38,15,11,45,Matches,8c25d35a
100,Vito van Crooy,nl NED,MFFW,Sparta R'dam,25,1996,24.2,455,735,61.9,8004,2482,221,296,74.7,166,261,63.6,53,120,44.2,4,2.6,3.1,+1.4,29,45,17,6,52,Matches,4b8b9e6c
101,Daniel Crowley,eng ENG,MF,Willem II,23,1997,9.5,377,445,84.7,6572,1653,177,188,94.1,150,168,89.3,40,67,59.7,0,1.6,1.8,-1.6,11,43,7,1,31,Matches,0c4f30d6
102,Adrián Dalmau,es ESP,FW,Sparta R'dam,27,1994,6.5,67,108,62.0,977,132,34,55,61.8,24,36,66.7,3,4,75.0,0,0.7,0.2,-0.7,8,0,1,0,4,Matches,7330f886
103,Adrián Dalmau,es ESP,FW,Utrecht,27,1994,2.7,22,32,68.8,255,45,15,21,71.4,6,7,85.7,0,0,,0,0.3,0.1,-0.3,3,1,1,0,2,Matches,7330f886
104,Wessel Dammers,nl NED,DFMF,Groningen,26,1995,13.3,521,616,84.6,11189,3409,123,146,84.2,324,351,92.3,71,107,66.4,2,0.9,0.4,+1.1,6,28,2,1,31,Matches,4ded7677
105,Wessel Dammers,nl NED,DF,Willem II,26,1995,13.9,502,587,85.5,10445,2967,120,132,90.9,306,335,91.3,72,105,68.6,1,0.4,0.2,+0.6,4,23,4,2,28,Matches,4ded7677
106,Lennerd Daneels,be BEL,FWMF,RKC Waalwijk,23,1998,6.3,138,205,67.3,2129,576,78,95,82.1,41,62,66.1,11,26,42.3,1,0.8,0.9,+0.2,8,13,7,2,11,Matches,c1b55b50
107,Danilo,br BRA,FWMF,Ajax,22,1999,3.1,84,113,74.3,961,202,51,59,86.4,16,21,76.2,3,5,60.0,1,1.1,0.6,-0.1,6,7,4,0,8,Matches,ccd38335
108,Damil Dankerlui,sr SUR,DFMF,Groningen,24,1996,16.6,621,859,72.3,11863,3629,245,294,83.3,277,353,78.5,90,173,52.0,2,2.6,2.3,-0.6,18,57,14,11,50,Matches,95646f9b
109,Mohammed Daramy,dk DEN,FWMF,Ajax,19,2002,2.3,94,127,74.0,1209,249,59,72,81.9,28,34,82.4,0,2,0.0,3,2.7,2.2,+0.3,12,4,6,2,6,Matches,06a1d642
110,Oussama Darfalou,dz ALG,FW,Vitesse,27,1993,6.0,88,135,65.2,1238,306,54,74,73.0,19,32,59.4,7,8,87.5,2,0.4,0.6,+1.6,6,5,4,0,11,Matches,5a81c2ec
111,Oussama Darfalou,dz ALG,FW,Zwolle,27,1993,9.7,136,236,57.6,1711,496,84,126,66.7,31,57,54.4,6,12,50.0,3,0.7,0.9,+2.3,8,14,12,0,24,Matches,5a81c2ec
112,Eli Dasa,il ISR,DFMF,Vitesse,28,1992,29.1,1288,1713,75.2,21490,7946,670,745,89.9,429,574,74.7,135,290,46.6,5,5.7,5.9,-0.7,64,91,70,41,110,Matches,12947ab7
113,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2.0,49,79,62.0,1290,967,16,17,94.1,16,16,100.0,17,46,37.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,c31cf14b
114,Mathias De Wolf,be BEL,FW,NEC Nijmegen,19,2002,0.1,1,2,50.0,15,0,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,1fe87f86
115,Mats Deijl,nl NED,DFMF,Go Ahead Eag,24,1997,27.1,805,1181,68.2,12412,4950,430,515,83.5,288,422,68.2,52,159,32.7,2,1.8,1.7,+0.2,15,58,15,5,75,Matches,709e48d4
116,Thomas van den Belt,nl NED,MF,Zwolle,20,2001,22.9,796,1108,71.8,13893,4540,360,443,81.3,330,425,77.6,82,167,49.1,1,2.3,2.5,-1.3,26,112,17,3,105,Matches,a686ef30
117,Connor van den Berg,nl NED,GK,Willem II,20,2001,0.8,8,26,30.8,390,368,0,0,,2,2,100.0,6,24,25.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,5c48b25f
118,Rav van den Berg,nl NED,DF,Zwolle,17,2004,4.1,183,232,78.9,3315,1125,81,91,89.0,79,98,80.6,20,34,58.8,0,0.1,0.1,-0.1,2,10,1,1,6,Matches,e962e4b5
119,Arjen van der Heide,nl NED,FWMF,Heerenveen,19,2001,5.5,109,166,65.7,1382,349,68,83,81.9,32,49,65.3,1,11,9.1,1,0.6,0.5,+0.4,7,4,5,2,8,Matches,c528605b
120,Mike van der Hoorn,nl NED,DF,Utrecht,28,1992,28.6,1227,1537,79.8,26102,10489,342,394,86.8,690,798,86.5,183,307,59.6,2,1.6,1.2,+0.4,6,86,5,0,80,Matches,25f50295
121,Djevencio van der Kust,nl NED,DF,Utrecht,20,2001,10.7,424,568,74.6,7518,2711,193,227,85.0,176,225,78.2,46,76,60.5,0,1.1,1.2,-1.1,7,33,17,8,26,Matches,e276e3e6
122,Mark van der Maarel,nl NED,DF,Utrecht,31,1989,22.7,1033,1298,79.6,20169,8918,360,414,87.0,528,610,86.6,125,214,58.4,1,0.7,1.3,+0.3,11,101,14,5,90,Matches,a31f9e95
123,Jhondly van der Meer,ht HAI,DF,Cambuur,19,2002,4.7,196,243,80.7,4091,1273,53,67,79.1,118,136,86.8,24,34,70.6,0,0.1,0.1,-0.1,2,5,2,0,9,Matches,343e3125
124,Richard van der Venne,nl NED,MF,RKC Waalwijk,29,1992,15.0,280,415,67.5,4575,1477,134,175,76.6,109,148,73.6,22,45,48.9,3,2.9,2.9,+0.1,20,34,16,3,36,Matches,623e6a05
125,Maikel van der Werff,nl NED,DF,Zwolle,32,1989,5.5,244,331,73.7,4791,1860,81,108,75.0,114,138,82.6,41,69,59.4,0,0.1,0.1,-0.1,2,21,1,1,20,Matches,36d320ec
