Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
156,Or Dasa,il ISR,MFFW,Arouca,22,1998,0.6,0,1,0,0.0,1.61,0.00,0.00,,21.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,151d78b3
157,Hernán De La Fuente,ar ARG,DFMF,Famalicão,24,1997,10.3,0,10,3,30.0,0.97,0.29,0.00,0.00,16.3,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches,035db54d
158,Juan Delgado,cl CHI,DFFW,Paços,28,1993,21.9,2,8,5,62.5,0.36,0.23,0.25,0.40,12.1,0,0,0,1.1,1.1,0.14,+0.9,+0.9,Matches,45a91d07
159,Denílson,br BRA,FW,Paços,26,1995,20.1,6,48,23,47.9,2.38,1.14,0.08,0.17,17.7,0,2,2,6.4,4.8,0.10,-0.4,-0.8,Matches,4447f575
160,Jordan van der Gaag,nl NED,MFFW,B-SAD,22,1999,2.0,0,1,1,100.0,0.51,0.51,0.00,0.00,18.1,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,f494d090
161,Lamine Diaby,fr FRA,MFFW,Paços,24,1996,2.5,0,9,2,22.2,3.58,0.80,0.00,0.00,19.5,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,8c410668
162,Luis Díaz,co COL,MFFW,Porto,24,1997,16.6,14,62,25,40.3,3.74,1.51,0.23,0.56,15.1,1,0,1,12.4,11.7,0.19,+1.6,+2.3,Matches,4a1a9578
163,Marcelo Djaló,gw GNB,DF,Boavista,27,1993,0.6,0,1,0,0.0,1.67,0.00,0.00,,14.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches,2ba40342
164,Matchoi Djaló,pt POR,MFFW,Paços,18,2003,7.9,1,13,3,23.1,1.65,0.38,0.08,0.33,23.2,3,0,0,1.1,1.1,0.09,-0.1,-0.1,Matches,a4cfe0ea
165,Ivan Dolček,hr CRO,DFMF,Famalicão,21,2000,2.2,1,3,3,100.0,1.36,1.36,0.33,0.33,15.4,0,0,0,0.2,0.2,0.08,+0.8,+0.8,Matches,fc30b347
166,Bruno Duarte,br BRA,FWMF,Vitória,25,1996,11.2,7,29,12,41.4,2.58,1.07,0.21,0.50,14.2,0,1,1,6.1,5.0,0.17,+0.9,+1.0,Matches,d9b89391
167,Rodrigo Duarte,pt POR,FW,Sporting CP,16,2005,0.5,0,5,1,20.0,10.47,2.09,0.00,0.00,18.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,484a3eae
168,Marcus Edwards,eng ENG,MFFW,Sporting CP,22,1998,5.8,3,18,7,38.9,3.09,1.20,0.17,0.43,18.7,0,0,0,1.3,1.3,0.07,+1.7,+1.7,Matches,57760e66
169,Marcus Edwards,eng ENG,FW,Vitória,22,1998,14.3,7,28,7,25.0,1.96,0.49,0.14,0.57,16.8,2,3,3,5.2,2.8,0.10,+1.8,+1.2,Matches,57760e66
170,Ricardo Esgaio,pt POR,DFMF,Sporting CP,28,1993,16.3,0,11,5,45.5,0.68,0.31,0.00,0.00,15.7,0,0,0,1.5,1.5,0.14,-1.5,-1.5,Matches,12dcbdcc
171,Tiago Esgaio,pt POR,DF,Arouca,25,1995,10.2,0,2,1,50.0,0.20,0.10,0.00,0.00,14.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,9c14a96b
172,Tiago Esgaio,pt POR,DF,Braga,25,1995,0.8,0,1,0,0.0,1.30,0.00,0.00,,34.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,9c14a96b
173,Dario Essugo,pt POR,MF,Sporting CP,16,2005,0.5,0,1,0,0.0,2.00,0.00,0.00,,29.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,1e4319ac
174,Gonçalo Esteves,pt POR,DFFW,Sporting CP,17,2004,1.6,0,1,0,0.0,0.64,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,ea3b4578
175,Luís Esteves,pt POR,MF,Vitória,23,1998,0.4,0,2,0,0.0,4.74,0.00,0.00,,29.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,f9ea45ed
176,Paulo Estrela Moreira,pt POR,MF,Portimonense,22,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,edf2b497
177,Oscar Estupiñan,co COL,FW,Vitória,24,1996,24.1,15,69,32,46.4,2.87,1.33,0.20,0.44,11.0,0,1,1,13.5,12.7,0.19,+1.5,+1.3,Matches,213ab9bb
178,Friday Etim,ng NGA,FWMF,Vizela,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,28eedd20
179,Stephen Eustáquio,ca CAN,MF,Porto,24,1996,1.0,0,1,0,0.0,1.03,0.00,0.00,,22.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,577efaec
180,Stephen Eustáquio,ca CAN,MF,Paços,24,1996,16.4,0,25,6,24.0,1.52,0.37,0.00,0.00,21.1,2,0,0,1.5,1.5,0.06,-1.5,-1.5,Matches,577efaec
181,Evanilson,br BRA,FW,Porto,21,1999,22.5,14,62,34,54.8,2.76,1.51,0.23,0.41,12.4,0,0,1,14.2,13.4,0.22,-0.2,+0.6,Matches,6f3cc2fe
182,Ewerton,br BRA,MF,Portimonense,28,1992,8.1,1,9,3,33.3,1.11,0.37,0.11,0.33,21.9,1,0,0,1.2,1.2,0.13,-0.2,-0.2,Matches,46e98743
